runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
483370,2270767228,0,1.0,0.0,0.0,0.4220423400402069,0.47114166617393494,2005.0,0.37691938877105713,0.0,0.0,-1.0,6.0,22914.404296875,38452.4765625,4,3,1,9,32,40,4,3,1,11,32,43,969
483370,2246389229,0,1.0,0.0,0.0,0.34418031573295593,0.41545093059539795,1834.0,0.14411211013793945,0.0,0.0,-1.0,6.0,31432.697265625,26321.3359375,8,0,1,15,39,33,9,1,1,22,43,38,935
483370,2028037735,0,1.0,0.0,0.0,0.35926705598831177,0.45256516337394714,2009.0,0.2132129669189453,2.462416887283325,4.192872524261475,6.208061695098877,3.0,0.0,33827.1328125,7,7,5,17,38,42,7,7,5,21,44,46,996
483370,4049671930,0,1.0,0.0,0.0,0.33304092288017273,0.43390318751335144,1609.0,0.9337362051010132,0.0,0.0,-1.0,3.0,23907.826171875,35957.890625,0,0,2,8,34,35,0,0,2,8,34,35,939
483370,4224364567,0,1.0,0.9954546093940735,0.9954546093940735,0.3638155162334442,0.43714219331741333,2852.0,0.12626409530639648,1.201359748840332,1.8814456462860107,3.464606761932373,4.0,33695.8515625,33449.05859375,4,0,3,11,44,37,4,0,3,15,46,40,1449
483370,4234229425,0,1.0,0.0,0.0,0.24943743646144867,0.3379410207271576,1806.0,0.284621000289917,0.0,0.0,-1.0,4.0,34953.8984375,35644.2109375,3,1,3,7,33,31,4,2,3,9,35,34,958
483370,2205584881,0,1.0,0.0,0.0,0.3916022777557373,0.4768725633621216,2784.0,0.18292254209518433,2.322687864303589,9.059163093566895,11.079031944274902,4.0,33545.3671875,27805.201171875,5,2,2,16,50,55,5,2,2,16,52,56,1412
483370,2985759471,0,1.0,0.0,0.0,0.3276938796043396,0.40074387192726135,2079.0,0.24897527694702148,0.24102568626403809,0.926419734954834,1.135542392730713,3.0,37975.125,45464.859375,3,3,2,12,41,34,3,3,2,12,41,34,1094
483370,2224833869,0,1.0,0.0,0.0,0.37383484840393066,0.43747174739837646,1941.0,0.13537979125976562,-0.3911901116371155,3.3829092979431152,5.849826812744141,4.0,35426.5,42357.94140625,10,1,0,8,39,33,10,1,0,9,40,34,972
483370,2472794681,0,1.0,0.0,0.0,0.3391844928264618,0.41006115078926086,2912.0,1.5086190700531006,0.841525673866272,1.3690341711044312,3.158928394317627,6.0,33708.3359375,27301.10546875,3,3,14,12,47,35,3,3,14,14,51,43,1390
