runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
481138,2633516393,0,1.0,0.0,0.0,0.29706695675849915,0.37523916363716125,1775.0,0.18027979135513306,1.248091459274292,5.233732223510742,6.282897472381592,4.0,29022.697265625,24730.0390625,6,8,16,18,11,16,6,9,17,18,11,16,998
485090,789620667,0,1.0,0.0,0.0,0.23819170892238617,0.2586500942707062,2503.0,0.007292822003364563,-2.2006874084472656,6.33646297454834,9.28348159790039,3.0,23688.251953125,57155.3359375,9,11,23,16,16,16,9,12,23,16,16,16,1252
482471,445951515,0,1.0,0.0,0.0,0.226617231965065,0.30384451150894165,1800.0,0.2481844425201416,1.484627366065979,3.6395633220672607,8.477520942687988,5.0,25877.255859375,52827.578125,18,17,18,14,16,17,23,21,19,17,18,18,991
479374,961802021,0,1.0,0.0,0.0,0.17405179142951965,0.21600162982940674,2429.0,0.0632479190826416,0.0,0.0,-1.0,3.0,0.0,20441.0625,15,22,16,15,18,14,21,26,17,16,19,15,1298
479374,801869681,0,1.0,0.0,0.0,0.27500656247138977,0.32534995675086975,1349.0,1.2790006399154663,1.4566603899002075,4.531169891357422,9.14346694946289,4.0,31076.529296875,36141.83203125,7,7,17,3,21,15,10,8,18,3,22,16,835
482727,3670659849,0,1.0,0.0,0.0,0.20866328477859497,0.3018953502178192,2133.0,1.4747430086135864,-1.572837233543396,4.366978168487549,2.9122207164764404,6.0,18212.634765625,39514.39453125,5,16,19,9,7,4,6,19,23,10,7,4,1097
476991,2769524848,0,1.0,0.9815336465835571,0.9815336465835571,0.6426365971565247,0.6813265681266785,7042.0,2.0344865322113037,0.0,0.0,-1.0,8.0,20697.27734375,20570.234375,6,24,27,9,10,8,6,24,27,9,10,8,4905
480188,2633824803,0,1.0,0.0,0.0,0.19830644130706787,0.30727148056030273,2977.0,0.17977258563041687,0.0,0.0,-1.0,3.0,23606.46875,26667.025390625,13,21,18,12,19,26,21,24,23,16,19,27,1747
480188,3339774743,0,1.0,0.0,0.0,0.13899318873882294,0.22952120006084442,1330.0,1.5652329921722412,0.0,0.0,-1.0,3.0,30080.462890625,36850.5859375,8,13,16,9,12,13,9,13,17,11,13,13,881
484583,1809230040,0,1.0,0.0,0.0,0.23241907358169556,0.2827322483062744,2246.0,0.02239326387643814,1.0070520639419556,3.6762197017669678,6.6525115966796875,3.0,20104.126953125,22323.783203125,11,19,22,10,7,8,11,20,23,10,7,8,957
480307,1234800787,0,1.0,0.0,0.0,0.4004662036895752,0.46730002760887146,2584.0,0.1692805290222168,0.0,0.0,-1.0,5.0,38021.125,38052.265625,15,11,19,9,12,14,15,13,21,9,12,14,1668
480307,2239432225,0,1.0,0.9912316799163818,0.9912316799163818,0.17571844160556793,0.2404898703098297,1875.0,0.6181716918945312,-1.7220673561096191,4.36821985244751,4.707342147827148,4.0,34286.84375,35350.73828125,6,26,25,20,18,18,9,29,26,22,19,19,885
480307,1054194038,0,1.0,0.0,0.0,0.20207196474075317,0.2185327708721161,1264.0,0.45421552658081055,0.0,0.0,-1.0,3.0,35895.7578125,44655.25390625,3,13,16,13,20,15,3,14,17,13,21,16,801
480674,2347042680,0,1.0,0.0,0.0,0.27808764576911926,0.3670767545700073,2344.0,0.17097073793411255,2.5700342655181885,4.5502424240112305,9.897331237792969,3.0,38407.24609375,52470.8515625,6,19,20,11,21,16,6,24,20,11,22,17,1193
480674,1622682110,0,1.0,0.0,0.0,0.2786758542060852,0.3744295537471771,1853.0,0.06843477487564087,-1.6882258653640747,7.0164947509765625,3.974565267562866,5.0,37492.30078125,67728.8046875,9,13,16,13,18,20,14,16,16,16,18,20,992
484583,2936132804,0,1.0,0.0,0.0,0.3514035940170288,0.46105432510375977,1771.0,0.9471453428268433,1.7915692329406738,4.057951927185059,11.433248519897461,3.0,23670.05078125,38141.89453125,19,13,18,12,13,29,21,16,22,15,15,33,925
483725,1779795073,0,1.0,0.0,0.0,0.17070931196212769,0.28275173902511597,2291.0,0.16454625129699707,0.12663687765598297,4.24260139465332,6.4196929931640625,4.0,34852.0,26571.0234375,9,14,16,15,18,14,10,14,18,16,18,14,1354
485090,1192375918,0,1.0,0.0,0.0,0.25827717781066895,0.3642134964466095,1358.0,0.1324138045310974,0.31562960147857666,3.021052598953247,7.295262336730957,3.0,35731.71484375,46470.4921875,5,12,18,18,15,25,6,12,19,19,16,26,837
485090,255684410,0,1.0,0.0,0.0,0.27845901250839233,0.323289692401886,2016.0,2.6652638912200928,0.0,0.0,-1.0,3.0,22809.1796875,32666.314453125,15,12,23,9,17,10,16,12,25,9,21,14,1078
486224,1701010031,0,1.0,0.0,0.0,0.2576134204864502,0.3255278766155243,2980.0,0.7892428636550903,-0.7877762317657471,2.331362724304199,1.4734742641448975,4.0,21907.564453125,20807.533203125,7,15,17,13,10,8,9,20,20,14,10,8,1719
486224,1966634753,0,1.0,0.0,0.0,0.3524993658065796,0.4590786397457123,1612.0,1.2356890439987183,-2.0043468475341797,6.700926780700684,3.233685255050659,4.0,25978.93359375,29448.91015625,9,10,16,6,16,16,11,10,16,6,17,17,941
479374,3266682189,0,1.0,0.0,0.0,0.5331072211265564,0.6297307014465332,2879.0,2.3270111083984375,2.268437385559082,7.780800819396973,12.632390022277832,3.0,35820.22265625,48356.0546875,8,32,18,19,19,16,8,34,19,22,20,19,1784
479374,2877844914,0,1.0,0.0,0.0,0.17290040850639343,0.26242774724960327,1791.0,0.23094391822814941,2.373538017272949,5.039783477783203,11.704875946044922,3.0,32268.310546875,38932.26171875,9,11,16,18,21,25,16,13,18,20,21,25,1056
484097,339590717,0,1.0,0.0,0.0,0.23574300110340118,0.31067243218421936,2699.0,0.09089507162570953,0.3811453580856323,2.8899810314178467,6.71585750579834,4.0,13296.232421875,63573.17578125,27,10,19,25,20,20,28,11,21,27,20,20,1338
484097,562197814,0,1.0,0.0,0.0,0.3921043574810028,0.44884777069091797,2371.0,0.5406633019447327,0.46685391664505005,1.969566822052002,3.0660531520843506,3.0,29016.810546875,28616.080078125,7,6,18,9,15,15,7,6,18,10,16,16,1090
482819,3186011104,0,1.0,0.0,0.0,0.2422339767217636,0.29317715764045715,1815.0,0.3247497081756592,0.6480835676193237,2.7381107807159424,5.778151035308838,4.0,29587.318359375,67028.9609375,10,19,17,12,11,11,13,20,19,12,12,12,1223
481553,4044685149,0,1.0,0.0,0.0,0.25489342212677,0.2698287069797516,1962.0,0.22130870819091797,1.8690260648727417,4.031339645385742,9.784048080444336,3.0,32601.689453125,30388.421875,3,15,21,3,6,7,5,15,21,3,6,7,1186
481553,935690017,0,1.0,0.0,0.0,0.3409387469291687,0.38328251242637634,2373.0,0.24275827407836914,3.5220749378204346,3.5220749378204346,3.5220749378204346,3.0,26812.169921875,44064.67578125,11,12,16,13,11,16,14,16,18,14,11,16,1314
481553,4199438905,0,1.0,0.0,0.0,0.1470877081155777,0.19664959609508514,2662.0,0.32636958360671997,0.20890161395072937,0.6362795829772949,1.1175947189331055,3.0,10844.8359375,53523.05078125,1,16,16,10,9,7,1,16,16,10,10,8,1962
482212,1515069915,0,1.0,0.0,0.0,0.20841649174690247,0.28917792439460754,2092.0,0.47343945503234863,4.710159778594971,6.709033489227295,15.97784423828125,4.0,9624.3046875,48815.98046875,11,18,16,21,18,20,15,19,19,23,20,22,1038
480307,1058006628,0,1.0,0.0,0.0,0.20792746543884277,0.2501162588596344,1919.0,0.5456864833831787,0.0,0.0,-1.0,3.0,36548.36328125,45181.66015625,5,23,19,8,9,9,6,25,21,9,10,10,1027
480307,2433801358,0,1.0,0.0,0.0,0.1409568190574646,0.22257903218269348,1716.0,2.262118339538574,0.0,0.0,-1.0,3.0,30852.875,25132.3359375,10,13,22,8,17,17,11,16,23,10,21,19,901
483833,1868298897,0,1.0,0.0,0.0,0.2180003821849823,0.2656097412109375,1459.0,0.19506525993347168,1.895470142364502,2.780890941619873,4.7544379234313965,3.0,33897.56640625,23283.259765625,8,8,16,5,20,15,8,10,17,5,20,15,809
482212,472662323,0,1.0,0.0,0.0,0.27203017473220825,0.39564594626426697,1690.0,0.6251966953277588,1.9645659923553467,4.321122646331787,10.30811595916748,3.0,20091.16796875,22909.240234375,12,12,18,10,22,23,14,14,18,13,22,23,943
480674,3112404159,0,1.0,0.0,0.0,0.2712363004684448,0.37452903389930725,1829.0,0.30195504426956177,0.7424270510673523,4.991568088531494,11.252364158630371,3.0,36153.66796875,76738.3984375,12,17,20,12,13,20,13,18,22,15,15,22,944
480741,3658943183,0,1.0,0.0,0.0,0.2410711944103241,0.30492302775382996,2640.0,0.47397831082344055,0.0,0.0,-1.0,4.0,30683.08203125,59880.89453125,4,23,16,8,13,17,4,23,16,9,14,18,1349
480741,2853474223,0,1.0,0.0,0.0,0.24798965454101562,0.3309321701526642,1868.0,0.7890142202377319,1.099029779434204,3.1713099479675293,4.425633907318115,3.0,16620.599609375,40709.0859375,9,9,22,12,8,12,11,9,24,13,10,16,1188
480741,904029285,0,1.0,0.0,0.0,0.23826156556606293,0.33723941445350647,1821.0,0.5007942914962769,-0.2706122100353241,2.558091402053833,3.0786070823669434,3.0,0.0,20322.68359375,9,23,17,14,22,27,18,25,18,19,22,27,874
481166,1292722517,0,1.0,0.0,0.0,0.23936165869235992,0.3159050941467285,2172.0,0.1670534461736679,2.003667116165161,3.4407284259796143,9.738645553588867,3.0,33769.5234375,35381.86328125,7,32,19,9,17,18,10,37,19,11,17,19,1213
483833,2847778186,0,1.0,0.0,0.0,0.21401742100715637,0.29346486926078796,1753.0,0.11390018463134766,-0.027146100997924805,2.372563600540161,3.249579668045044,3.0,32119.298828125,33111.24609375,10,12,17,9,20,13,13,16,19,9,21,14,825
483833,3685680720,0,1.0,0.0,0.0,0.2788638770580292,0.37810850143432617,2448.0,0.21996450424194336,0.0,0.0,-1.0,4.0,25552.90625,30335.8515625,8,19,16,5,18,18,8,19,16,6,18,18,1273
481553,528371218,0,1.0,0.0,0.0,0.20842710137367249,0.2864546477794647,2234.0,0.1916925460100174,0.0,0.0,-1.0,4.0,32022.845703125,29524.03125,7,26,16,3,21,23,7,28,17,3,22,24,1307
481553,2951516872,0,1.0,0.0,0.0,0.20436275005340576,0.3169592320919037,1857.0,0.420612096786499,0.0,0.0,-1.0,4.0,31313.353515625,35979.70703125,10,18,16,11,15,13,16,20,18,11,15,13,992
481616,3661913367,0,1.0,0.0,0.0,0.29390496015548706,0.3260636627674103,2105.0,2.4702539443969727,-0.4839070439338684,0.4839070439338684,-0.4839070439338684,3.0,15316.0361328125,25105.154296875,15,16,19,9,8,9,16,18,23,13,8,9,1170
481616,2274823891,0,1.0,0.0,0.0,0.3537125289440155,0.4758380055427551,1866.0,0.17782683670520782,1.8525723218917847,2.335019826889038,3.273942470550537,5.0,30336.240234375,49896.2421875,19,21,16,15,9,9,20,21,17,17,9,9,950
481616,988239333,0,1.0,0.0,0.0,0.20153792202472687,0.2800310254096985,2094.0,1.0572187900543213,0.0,0.0,-1.0,3.0,27402.38671875,29533.076171875,24,12,17,9,21,17,27,14,19,11,22,17,854
481616,1575930330,0,1.0,0.0,0.0,0.2692723870277405,0.3718717098236084,3045.0,0.006363987922668457,1.1052345037460327,1.9129512310028076,2.976793050765991,3.0,22057.01171875,68558.796875,17,13,24,10,18,11,19,13,26,10,18,11,1836
481616,1307782760,0,1.0,0.0,0.0,0.2398928701877594,0.36328816413879395,2335.0,0.1467629373073578,5.579556941986084,5.579556941986084,5.579556941986084,3.0,7684.66552734375,23200.232421875,10,16,17,13,20,18,11,17,17,16,21,19,1120
481616,2817948376,0,1.0,0.0,0.0,0.27414411306381226,0.32756292819976807,2028.0,0.11523134261369705,1.0730113983154297,5.280862331390381,10.157029151916504,3.0,39983.234375,55142.34765625,17,10,16,13,15,22,18,10,16,15,16,22,1106
