runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,148288,537839,2.3472294e-10,0.0,0.0,0.32953805,0.3914286,2531.0,0.46311784,0.0,0.0,-1.0,3.0,67591.266,75855.02,9,18,20,3,3,3,9,18,20,3,3,3,1940,0.7749519134166158,0.662305054986276
410000,10356,537839,3.3529587e-10,0.0,0.0,0.26676363,0.31801653,5054.0,0.32334042,0.0,0.0,0.0,7.0,149562.4,148530.98,20,30,29,6,4,1,20,31,31,7,7,4,3521,0.6923400705607708,0.9499695093466378
410000,75086,537839,3.6674948e-11,0.8070696,0.80706954,0.29189578,0.33572844,4958.0,0.09235871,0.0,0.0,-1.0,3.0,165070.83,169271.86,15,15,22,5,3,10,22,16,22,6,3,10,3448,0.5906495194835292,0.8997697974082283
410000,61386,537839,1.8834898e-10,0.0,0.0,0.28344092,0.32602933,2582.0,0.052327633,0.0,0.0,-1.0,8.0,138400.7,143289.1,2,15,18,9,0,1,2,16,19,9,1,3,1883,0.591610954325406,0.9397524198302862
410000,95926,537839,8.801795e-11,0.9565695,0.9565695,0.2973653,0.329482,6815.0,0.09294772,1.4425985,2.396499,4.168062,7.0,280781.97,276395.97,3,29,16,12,3,5,3,32,17,12,4,6,4959,0.0033280462822739,0.9676266643305826
410000,132982,537839,1.2256916e-10,0.0,0.0,0.18638968,0.2406666,4583.0,0.058648586,-0.19248874,2.1365395,1.6232171,8.0,228172.48,235537.28,5,16,20,7,1,2,7,18,23,7,1,2,3466,0.004604491030932856,0.9680341215207947
410000,85223,537839,8.444058e-11,0.0,0.0,0.24609648,0.327872,3397.0,0.06775701,-0.28934062,3.015817,5.268222,6.0,246508.69,260822.83,11,29,19,9,1,3,15,31,21,10,2,3,2402,0.3553945538711998,0.9152220565711605
410000,65001,537839,1.3953165e-10,0.88476634,0.88476634,0.32209337,0.39861318,4861.0,0.32049108,4.158621,10.25099,24.711529,4.0,170023.6,164812.14,10,16,16,11,1,5,11,16,16,13,2,5,3342,0.4518994422935706,0.9119412221356704
410000,65133,537839,2.2958135e-10,0.0,0.0,0.26546067,0.30715406,3576.0,0.16579449,0.0,0.0,-1.0,3.0,108152.22,109171.305,15,32,21,9,1,3,17,34,23,9,1,3,2497,0.5742337707597533,0.8676047711849035
410000,97653,537839,0.0,0.0,0.0,0.23021406,0.3433774,2512.0,0.31008404,0.0,0.0,-1.0,3.0,86374.17,83997.43,6,30,16,8,0,4,6,31,17,8,0,6,1823,0.6137417946693038,0.6278152071878231
410000,60595,537839,1.1682307e-10,0.0,0.0,0.30708548,0.3478019,6037.0,0.23783988,0.0,0.0,-1.0,9.0,235922.19,234875.64,13,33,24,5,2,2,13,33,24,6,3,2,4191,0.5739350644754728,0.9771008562699752
410000,62601,537839,1.51704e-10,0.0,0.0,0.26433057,0.29245293,3293.0,0.21060479,-1.4513229,3.7700212,2.6736455,7.0,101625.19,95000.86,15,13,21,4,0,1,23,18,22,4,0,1,2340,0.16376598951758925,0.9277358661082005
410000,50659,537839,2.09236e-10,0.0,0.0,0.3638546,0.41463786,2055.0,0.068877995,0.0,0.0,-1.0,5.0,110679.04,148749.73,23,16,21,14,2,4,25,19,25,14,2,4,1515,0.6238596749224216,0.7750717268829905
410000,62129,537839,1.2294409e-10,0.0,0.0,0.25189418,0.2755892,5097.0,0.09984684,0.10693383,4.331335,9.678313,6.0,175622.94,188283.25,2,27,18,6,3,3,5,28,19,7,4,4,3582,0.2878736844859062,0.957055497724107
410000,10568,537839,3.84425e-10,0.9768137,0.9769076,0.2874005,0.3494804,5558.0,0.21414949,0.0,0.0,-1.0,6.0,93308.3,110815.01,1,27,17,13,1,2,1,27,17,13,1,2,4016,0.6048844207261306,0.9413244215031712
410000,56418,537839,5.926354e-11,0.0,0.0,0.28794828,0.3659967,3438.0,0.19254482,0.0,0.0,-1.0,3.0,566738.44,576868.8,15,40,25,8,2,4,15,40,25,10,2,4,2373,0.5132268964934275,0.8575042529802761
410000,48513,537839,1.3283168e-10,0.0,0.0,0.28076893,0.32534397,3171.0,0.32918072,0.0,0.0,-1.0,6.0,101418.09,142370.4,12,19,22,8,1,5,12,21,24,8,1,5,2374,0.5866349323743223,0.927138619786474
410000,48549,537839,3.4121397e-11,0.0,0.0,0.32822213,0.3752674,5281.0,0.0043749213,0.0,0.0,-1.0,9.0,375751.34,372463.88,9,14,24,4,2,3,12,15,28,5,2,3,3945,0.6567004908126086,0.982649220138728
410000,85587,537839,8.059517e-11,0.0,0.0,0.18759106,0.20667619,2596.0,0.1600368,1.7727742,3.3035464,6.200707,6.0,165402.02,201112.84,6,14,23,8,1,1,6,22,32,9,2,2,1981,0.06430827400520422,0.8421544887722574
410000,85698,537839,1.580906e-10,0.0,0.0,0.30433622,0.35835692,4409.0,0.023862958,0.0,0.0,-1.0,14.0,140195.95,124346.99,10,24,26,8,7,7,10,29,31,8,7,7,3229,0.5600024767140985,0.994695261319908
410000,95775,537839,3.9520366e-12,0.85708153,0.85708153,0.30219495,0.3781198,3413.0,0.10102379,2.428905,3.030946,4.9895697,5.0,242280.9,245652.69,1,11,19,12,2,6,1,13,20,12,3,7,2235,0.0013935498538498736,0.8958823746976591
410000,112922,537839,1.4072717e-10,0.68021435,0.68021435,0.36550963,0.41009057,3049.0,0.1351276,0.0,0.0,-1.0,10.0,126116.516,124053.29,2,26,18,4,4,5,2,28,20,4,4,5,2393,0.5451192477415271,0.9737870192845124
410000,99840,537839,6.027288e-14,0.0,0.0,0.33528438,0.37297523,5480.0,0.0188272,2.291134,2.291134,2.291134,6.0,191012.84,189157.83,6,25,19,11,2,7,6,28,21,11,2,7,3573,0.6873400325130828,0.9624088025379923
410000,33504,537839,0.0,0.90136385,0.9013804,0.1962688,0.26586774,4846.0,0.24960196,-1.750722,4.771296,3.612,5.0,150745.86,188374.14,1,9,22,9,0,6,1,9,22,12,1,7,3126,0.5023130494067232,0.9081839848347959
410000,28956,537839,1.2432456e-10,0.0,0.0,0.2164692,0.26767048,4896.0,0.02630353,4.4736223,4.4736223,4.4736223,4.0,162080.61,169597.66,9,27,23,5,3,3,10,28,23,5,4,4,3403,0.927286497994877,0.9091160948072722
