runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,135101,537839,5.3350113e-10,0.5,84.76647,76.15454,4.479679,7.211071,21.880478,2.514939,0.0,9.598996,11.424779,20.359085,2.3332958,2.5219986,0.0036094866,1.1409396,0.0,187905.64,182036.44,3,6,22,18,3,7,3,8,22,19,3,8,3116,0.11772671539749213,0.9048940411097804
410000,135127,537839,2.5980834e-10,0.14814815,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.695595,0.0,348415.16,359861.53,4,27,44,4,0,2,5,28,45,4,0,2,2373,0.5641758931340513,0.9597021899670418
410000,42102,537839,0.0,0.6315789,0.0,4.0561824,4.0561824,4.0561824,4.0561824,0.0,0.0,0.0,-0.4704071,0.0,1.289005,0.0,1.6500952,2.7801156,0.0,61988.395,68287.02,12,19,18,2,0,0,13,19,20,2,0,0,1336,0.5424269330697247,0.6570549696926409
410000,86625,537839,1.6325516e-10,0.22857143,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.046937,0.0,82294.31,81766.75,8,35,24,10,0,1,8,35,24,10,0,1,3210,0.5839496175567,0.8501990586409301
410000,148288,537839,2.3472294e-10,0.5,226.16403,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5090542,0.0,67591.266,75855.02,9,18,20,3,3,3,9,18,20,3,3,3,1940,0.7749519134166158,0.662305054986276
410000,10356,537839,3.3529587e-10,0.6666667,20.900208,0.6212341,0.6212341,0.6212341,0.6212341,0.5629963,0.0,0.027000036,0.0,0.0009973488,0.0,0.0,0.0,2.2675834,0.0,149562.4,148530.98,20,30,29,6,4,1,20,31,31,7,7,4,3521,0.6923400705607708,0.9499695093466378
410000,75086,537839,3.6674948e-11,1.0,12.9059105,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4521325,0.0,165070.83,169271.86,15,15,22,5,3,10,22,16,22,6,3,10,3448,0.5906495194835292,0.8997697974082283
410000,61386,537839,1.8834898e-10,0.13333334,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1340146,0.0,138400.7,143289.1,2,15,18,9,0,1,2,16,19,9,1,3,1883,0.591610954325406,0.9397524198302862
410000,95926,537839,8.801795e-11,0.10344828,90.91035,73.08295,10.440421,20.591501,51.940136,0.8571066,0.0,1.1758174,-0.11404974,46.500652,0.0,11.114696,-0.029904056,2.3044868,0.0,280781.97,276395.97,3,29,16,12,3,5,3,32,17,12,4,6,4959,0.0033280462822739,0.9676266643305826
410000,132982,537839,1.2256916e-10,0.3125,0.0,38.91909,12.97303,20.22383,34.91124,0.0,0.0,0.026999837,18.244787,1.7180033,6.318681,0.15800364,0.34340888,3.5020494,0.0,228172.48,235537.28,5,16,20,7,1,2,7,18,23,7,1,2,3466,0.004604491030932856,0.9680341215207947
410000,85223,537839,8.444058e-11,0.37931034,0.0,15.816335,1.5816334,2.023981,4.4439993,0.9249996,0.0,3.2850037,-0.0058923396,4.343018,0.0,0.3209995,0.0,2.4366176,0.0,246508.69,260822.83,11,29,19,9,1,3,15,31,21,10,2,3,2402,0.3553945538711998,0.9152220565711605
410000,97653,537839,0.0,0.2,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5210307,0.0,86374.17,83997.43,6,30,16,8,0,4,6,31,17,8,0,6,1823,0.6137417946693038,0.6278152071878231
410000,65001,537839,1.3953165e-10,0.625,54.239872,11.538191,1.9230318,2.0675023,2.8556564,1.698457,0.0,3.1107707,0.0,1.5647441,0.0,0.068090625,0.0,2.4810472,0.0,170023.6,164812.14,10,16,16,11,1,5,11,16,16,13,2,5,3342,0.4518994422935706,0.9119412221356704
410000,65133,537839,2.2958135e-10,0.46875,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8545122,0.0,108152.22,109171.305,15,32,21,9,1,3,17,34,23,9,1,3,2497,0.5742337707597533,0.8676047711849035
410000,60595,537839,1.1682307e-10,0.3939394,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.870095,0.0,235922.19,234875.64,13,33,24,5,2,2,13,33,24,6,3,2,4191,0.5739350644754728,0.9771008562699752
410000,62601,537839,1.51704e-10,1.1538461,6.135404,19.195892,3.8391786,4.9567747,8.451864,0.47785103,0.0,1.2370213,1.7005312,5.6438704,0.7176172,0.2556449,0.0075994027,2.6320271,0.0,101625.19,95000.86,15,13,21,4,0,1,23,18,22,4,0,1,2340,0.16376598951758925,0.9277358661082005
410000,50659,537839,2.09236e-10,1.4375,25.97609,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4392474,0.0,110679.04,148749.73,23,16,21,14,2,4,25,19,25,14,2,4,1515,0.6238596749224216,0.7750717268829905
410000,62129,537839,1.2294409e-10,0.074074075,0.0,24.726755,2.4726756,4.2234025,11.898279,1.0166069,0.0,5.2503877,0.042371545,5.9804273,0.48298922,0.19400206,1.7691672,2.3874087,0.0,175622.94,188283.25,2,27,18,6,3,3,5,28,19,7,4,4,3582,0.2878736844859062,0.957055497724107
410000,10568,537839,3.84425e-10,0.037037037,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.324083,0.0,93308.3,110815.01,1,27,17,13,1,2,1,27,17,13,1,2,4016,0.6048844207261306,0.9413244215031712
410000,56418,537839,5.926354e-11,0.375,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8593214,0.0,566738.44,576868.8,15,40,25,8,2,4,15,40,25,10,2,4,2373,0.5132268964934275,0.8575042529802761
410000,48513,537839,1.3283168e-10,0.6315789,13.7897215,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6059368,0.0,101418.09,142370.4,12,19,22,8,1,5,12,21,24,8,1,5,2374,0.5866349323743223,0.927138619786474
410000,48549,537839,3.4121397e-11,0.64285713,58.57818,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6377728,0.0,375751.34,372463.88,9,14,24,4,2,3,12,15,28,5,2,3,3945,0.6567004908126086,0.982649220138728
410000,85587,537839,8.059517e-11,0.42857143,0.0,30.739723,5.123287,8.278503,19.194395,1.1679645,0.0,5.6393356,-0.019799925,12.173899,0.40641797,0.17509082,-0.016756073,2.409077,0.0,165402.02,201112.84,6,14,23,8,1,1,6,22,32,9,2,2,1981,0.06430827400520422,0.8421544887722574
410000,85698,537839,1.580906e-10,0.41666666,5.7983165,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4567559,0.0,140195.95,124346.99,10,24,26,8,7,7,10,29,31,8,7,7,3229,0.5600024767140985,0.994695261319908
410000,95775,537839,3.9520366e-12,0.09090909,0.0,60.604435,20.201479,33.04621,57.185497,0.2626446,0.0,1.0150068,-0.010823639,0.63454914,-0.25481823,0.012016928,45.070805,4.095649,0.0,242280.9,245652.69,1,11,19,12,2,6,1,13,20,12,3,7,2235,0.0013935498538498736,0.8958823746976591
410000,112922,537839,1.4072717e-10,0.07692308,5.5260086,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188837,0.0,126116.516,124053.29,2,26,18,4,4,5,2,28,20,4,4,5,2393,0.5451192477415271,0.9737870192845124
410000,99840,537839,6.027288e-14,0.24,26.643194,6.292674,6.292674,6.292674,6.292674,0.0,0.0,5.211088e-07,0.8545962,0.056486145,2.5856395,-0.016300581,-0.0070122695,2.2771745,0.0,191012.84,189157.83,6,25,19,11,2,7,6,28,21,11,2,7,3573,0.6873400325130828,0.9624088025379923
410000,28956,537839,1.2432456e-10,0.33333334,1718.0793,2.2929418,2.2929418,2.2929418,2.2929418,0.0,0.0,0.0,-0.055140804,0.0,0.99856055,0.0,0.027546505,2.9113014,0.0,162080.61,169597.66,9,27,23,5,3,3,10,28,23,5,4,4,3403,0.927286497994877,0.9091160948072722
410000,33504,537839,0.0,0.11111111,139.64104,50.621685,3.3747787,4.744139,11.03306,3.0977046,0.0,4.6210184,5.910663,10.080059,4.317118,0.5548473,0.059345078,1.3720844,0.0,150745.86,188374.14,1,9,22,9,0,6,1,9,22,12,1,7,3126,0.5023130494067232,0.9081839848347959
