runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
483852,3431762893,0,1.0,0.800000011920929,0.0,12.862780570983887,2.143796682357788,2.6769869327545166,5.542910575866699,0.9024463891983032,0.0,1.8652830123901367,0.7242331504821777,1.7404046058654785,1.3792325258255005,0.17370007932186127,0.6867536306381226,3.829484462738037,0.0,0.0,53946.2265625,12,15,19,8,5,6,22,15,21,9,6,7,919
483852,2544276323,0,1.0,0.4000000059604645,0.0,14.09798812866211,3.5244970321655273,4.562249183654785,7.44658899307251,1.416351318359375,0.0,2.75553560256958,0.10847166925668716,3.9631245136260986,0.0,0.13537044823169708,0.0,3.35522198677063,4.552737236022949,39740.46484375,29211.873046875,8,20,16,7,7,12,9,21,17,7,7,12,820
476396,405190433,0,1.0,0.9090909361839294,0.0,63.25666046142578,7.028517723083496,13.709046363830566,39.41120529174805,1.9184015989303589,0.0,14.972447395324707,4.338705539703369,18.115673065185547,3.8627872467041016,0.5029100775718689,0.6021668910980225,1.477949857711792,0.0,7498.27685546875,28665.857421875,10,11,17,9,12,11,19,13,19,11,12,12,907
476396,2277689378,0,1.0,1.1818181276321411,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.165297746658325,0.0,0.0,27419.62109375,13,11,21,9,14,11,13,11,21,10,14,11,940
482153,2651870170,0,1.0,0.7692307829856873,0.0,43.082122802734375,6.1545891761779785,8.778525352478027,19.88197898864746,1.9754470586776733,0.0,7.063576698303223,9.185223579406738,8.753400802612305,1.3501782417297363,-0.13905681669712067,-0.048307646065950394,0.8282157182693481,0.0,37892.8359375,43665.7265625,10,13,29,8,16,7,15,16,32,8,17,8,1600
473235,2025022687,0,1.0,0.10000000149011612,58.758575439453125,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8831714391708374,0.0,27185.0625,23014.39453125,2,20,19,4,4,4,2,21,20,4,5,5,1543
479239,452996123,0,1.0,0.5263158082962036,0.0,23.070655822753906,3.845109224319458,4.6648173332214355,8.053400039672852,1.0662014484405518,0.0,5.759615898132324,0.0,6.518958568572998,0.0,0.014333936385810375,0.0,3.7888710498809814,0.0,33840.30078125,45455.1015625,10,19,26,19,26,20,11,22,29,21,27,20,1112
481749,3696751407,0,1.0,0.09090909361839294,0.0,11.1218843460083,5.560942649841309,7.406161308288574,10.45248031616211,-0.09446589648723602,0.0,0.5058128833770752,2.282541513442993,0.2327302098274231,0.7671492099761963,0.7475581765174866,0.44314873218536377,2.6537728309631348,0.0,39301.34765625,37139.75,1,11,18,6,8,6,1,13,20,6,8,6,830
481749,2831901905,0,1.0,0.761904776096344,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2662949562072754,0.0,33381.84375,44343.89453125,16,21,22,14,16,22,22,23,24,14,17,23,1419
484573,2380241206,0,1.0,0.3103448152542114,0.0,16.342988967895508,2.7238311767578125,3.124375581741333,4.8481340408325195,-0.0780453085899353,0.0,0.632661759853363,4.7506937980651855,4.065852165222168,0.23088662326335907,-0.1228288933634758,0.0,3.9062044620513916,0.0,15934.3603515625,32825.8359375,9,29,19,14,13,10,10,31,23,14,13,10,981
484573,2211702483,0,1.0,0.1666666716337204,6.023622512817383,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.158436894416809,0.0,30428.650390625,38547.40234375,5,30,24,12,16,9,5,30,24,12,16,11,2201
486658,1049746811,0,1.0,0.8181818127632141,9.805835723876953,21.877731323242188,3.6462886333465576,4.541003704071045,7.751825332641602,1.3071287870407104,0.0,2.6753172874450684,1.2681889533996582,7.420820236206055,0.28641268610954285,0.2337646782398224,0.31045377254486084,2.7380778789520264,0.0,22805.583984375,35838.3828125,9,11,17,9,18,17,12,13,17,10,18,17,896
486658,302500760,0,1.0,0.17241379618644714,11.841440200805664,13.913102149963379,13.913102149963379,13.913102149963379,13.913102149963379,0.0,0.0,0.0,6.491603851318359,0.08207970857620239,3.8019893169403076,-0.30603548884391785,0.028079351410269737,2.989694833755493,0.0,39606.421875,44789.17578125,5,29,18,11,9,11,8,30,19,11,9,12,951
486658,2714745997,0,1.0,0.699999988079071,9.987541198730469,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6149063110351562,0.0,27445.296875,40247.796875,14,20,25,7,11,10,18,21,26,7,11,10,1136
486658,1822646069,0,1.0,0.6111111044883728,8.401508331298828,29.147602081298828,2.428966760635376,3.9850411415100098,11.7334623336792,1.0938243865966797,0.0,1.5619453191757202,4.225017070770264,6.879602432250977,1.4696834087371826,0.3498959541320801,-0.025071140378713608,2.8541321754455566,0.0,27649.861328125,25383.7890625,11,18,19,10,16,13,14,20,21,10,17,14,1091
484249,3470161968,0,1.0,0.1818181872367859,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.379277467727661,0.0,25205.544921875,25824.177734375,2,11,17,8,17,13,2,11,17,9,18,14,1042
484249,4066827183,0,1.0,0.27272728085517883,0.0,12.1060152053833,4.035338878631592,4.8261799812316895,7.651727199554443,0.4819144010543823,0.0,1.6385542154312134,0.0038817122112959623,6.2187089920043945,0.0,0.4301319420337677,0.0,1.9665378332138062,0.0,31051.724609375,24011.333984375,6,22,21,8,11,7,7,25,22,8,11,7,953
475522,1541085443,0,1.0,0.38461539149284363,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.662756085395813,0.0,30211.142578125,32180.869140625,5,13,20,10,11,14,8,15,21,10,11,14,914
475522,2352852013,0,1.0,0.4285714328289032,0.0,17.718109130859375,3.543621778488159,3.8836872577667236,5.160446643829346,0.8451645374298096,0.0,5.300722122192383,-0.0016025571385398507,5.606718063354492,0.0,0.23575641214847565,0.0,2.5947985649108887,0.0,23809.705078125,52301.3046875,9,21,18,11,13,15,9,22,19,12,16,19,959
481207,2891763761,0,1.0,0.4761904776096344,9.022704124450684,22.188861846923828,3.698143720626831,4.359202861785889,8.031462669372559,0.2019466608762741,0.0,2.69867205619812,1.7440987825393677,5.393616199493408,0.13827933371067047,0.9177471399307251,0.007133621722459793,1.341300368309021,0.0,23426.2578125,21255.263671875,10,21,19,18,28,8,12,22,19,19,29,9,994
481318,1437127148,0,1.0,0.3529411852359772,0.0,3.283729314804077,1.0945764780044556,1.2311956882476807,1.882981538772583,-0.021272536367177963,0.0,1.4756169319152832,0.0,0.3403998017311096,0.0,0.0037557792384177446,0.0,3.441330909729004,3.8754165172576904,33944.85546875,43990.0,6,17,21,7,11,20,15,22,26,8,13,20,1519
481318,561850773,0,1.0,0.6470588445663452,0.0,28.018287658691406,2.547116994857788,5.869999408721924,19.22770118713379,1.166208267211914,0.0,1.987964153289795,2.501279354095459,1.5975583791732788,10.06169319152832,0.6369470953941345,1.4001390933990479,1.6596181392669678,1.0850778818130493,21663.359375,26789.423828125,11,17,18,7,6,7,11,18,19,7,6,7,1323
481318,3134436912,0,1.0,0.5909090638160706,0.0,16.14748764038086,2.30678391456604,2.9952070713043213,5.478216648101807,1.9141918420791626,0.0,5.310693740844727,0.047269679605960846,3.9805259704589844,0.0,0.012433440424501896,0.0,3.2849931716918945,0.0,35928.04296875,68249.1640625,13,22,17,13,12,15,14,22,18,16,14,16,815
481318,3483534080,0,1.0,0.25,0.0,28.0022029876709,3.5002753734588623,4.489400386810303,9.763851165771484,1.730472207069397,0.0,5.68300199508667,1.0564037561416626,7.298886775970459,0.5462860465049744,2.6075599193573,0.6900884509086609,2.8762099742889404,3.9528849124908447,11137.873046875,32852.140625,4,16,17,11,15,13,4,17,18,11,15,13,1277
477048,2850055068,0,1.0,0.11538461595773697,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.893200635910034,0.0,32095.5078125,27396.189453125,3,26,16,11,6,7,3,27,17,11,6,7,1249
477037,1645643877,0,1.0,0.5,6.290098667144775,32.398658752441406,6.479731559753418,10.129847526550293,21.66628646850586,0.3269013464450836,0.0,5.35833740234375,0.800594687461853,16.57208251953125,1.0034375190734863,0.3994434177875519,1.003244161605835,1.2778373956680298,1.547980546951294,8467.4208984375,30377.037109375,10,20,24,5,8,11,14,21,26,5,9,12,997
477037,930163982,0,1.0,0.4736842215061188,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.659576416015625,0.0,26852.2734375,20604.2109375,9,19,23,12,13,14,9,21,23,13,14,14,1422
477037,4109408574,0,1.0,1.0,16.3411808013916,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.042802333831787,0.0,29448.765625,32008.01171875,4,4,18,3,4,10,8,5,18,3,5,11,890
483685,519900440,0,1.0,0.1666666716337204,12.588529586791992,39.4514274597168,3.287618637084961,5.695034503936768,18.495412826538086,4.086921691894531,0.0,5.2974677085876465,3.1270430088043213,14.521674156188965,0.3296705186367035,0.25574374198913574,-0.030578872188925743,3.121811628341675,0.0,36568.09765625,34968.97265625,2,12,16,18,15,15,3,15,19,20,18,18,934
476384,1888836313,0,1.0,0.8666666746139526,15.852896690368652,0.6960303783416748,0.6960303783416748,0.6960303783416748,0.6960303783416748,-0.034497007727622986,0.0,0.23755283653736115,0.0,0.15790756046772003,0.0,0.0,0.0,2.183526039123535,0.0,20531.259765625,22793.708984375,13,15,17,9,24,11,15,16,18,10,25,12,1051
