runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
480197,3808808032,0,1.0,0.0,0.0,0.20846581,0.3029795,1910.0,0.18229179,0.78160745,2.7228904,4.388539,4.0,28226.58,22034.857,5,17,16,11,15,11,8,17,16,12,16,13,864,0.0012698202416437931,0.3959836451413383
480197,4501596515,0,1.0,0.0,0.0,0.3380062,0.38648584,2125.0,1.1614727,0.0,0.0,-1.0,3.0,32372.557,32597.482,14,23,22,6,6,8,15,24,23,6,6,8,1204,0.6207617203164804,0.4450837515270629
480197,3608897962,0,1.0,0.0,0.0,0.24941269,0.3281704,1769.0,0.15620615,2.0731463,2.838793,3.675181,4.0,37232.75,34392.33,2,10,17,8,8,7,2,11,18,8,8,7,906,0.0005721348628475731,0.3339416414229921
474448,1454137832,0,1.0,0.0,0.0,0.24450457,0.26962668,2029.0,0.16623509,1.2792205,4.0696616,7.7548423,3.0,23709.543,21813.613,8,8,21,11,15,13,9,9,21,12,15,14,1031,0.0011714041967473277,0.2196470092912035
482028,1243003894,0,1.0,0.0,0.0,0.26659247,0.32434854,2737.0,0.5606002,0.44189394,1.1462184,1.97776,3.0,25213.941,38653.49,11,16,18,12,13,28,11,18,20,15,13,28,1275,0.00130210399625319,0.6564857142065899
476929,1309704284,0,1.0,0.0,0.0,0.25680566,0.34639853,2117.0,0.72790086,2.634803,4.4052725,8.743302,3.0,34958.008,39751.16,9,15,17,11,14,11,11,16,20,13,15,12,1166,0.0938414604521417,0.24214411848669648
479449,2823581304,0,1.0,0.0,0.0,0.16703333,0.18827169,2101.0,0.12847966,-0.1093773,4.464183,5.63,4.0,39430.52,50485.14,15,22,19,8,7,12,15,24,19,9,9,13,926,8.805171554815416e-05,0.4269144117781001
479449,736616749,0,1.0,0.0,0.0,0.15325376,0.21525003,1607.0,2.0771646,0.0,0.0,-1.0,5.0,28278.812,71070.83,5,18,27,14,15,13,5,18,27,19,15,13,853,0.5112206181705651,0.5504462717637935
479449,2709261156,0,1.0,0.0,0.0,0.24869765,0.29727888,1832.0,0.030210257,2.0223827,4.6844287,9.670398,3.0,15327.76,40505.668,15,6,19,9,20,16,18,9,22,10,20,16,906,0.1433007524547658,0.15514249575691275
479239,1412047160,0,1.0,0.0,0.0,0.20916617,0.3083733,1739.0,1.3637837,0.49260134,1.6994019,1.838254,3.0,31191.049,35927.258,11,18,17,15,18,17,13,22,18,15,19,17,1007,0.0002821689332536126,0.1596308405662774
479239,924322914,0,1.0,0.0,0.0,0.23058593,0.2746221,2524.0,2.5537844,0.92058337,3.3833292,8.41272,3.0,10196.587,28977.59,7,15,17,7,16,14,7,15,20,7,16,14,1413,0.0457017181428202,0.21902994197966652
476760,3030301653,0,1.0,0.0,0.0,0.2623813,0.2919274,2194.0,3.031415,0.0,0.0,-1.0,3.0,21443.832,21297.586,4,3,21,4,8,6,4,4,22,4,8,6,1257,0.0,0.165835946241785
