runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
474770,789805531,0,1.0,0.0,0.0,0.39316928,0.4827867,1915.0,0.53068566,3.2201838,7.991996,20.385685,3.0,23847.695,58433.312,4,2,4,16,43,44,4,2,4,19,49,50,937,0.9962914210543418,0.05308145233177708
474770,848742720,0,1.0,0.9228062,0.9228062,0.43330142,0.4906661,1745.0,0.6808482,-1.3817993,3.3923185,1.3321601,3.0,28742.836,47266.21,11,0,3,16,27,42,11,0,3,21,28,43,941,0.9998237908966666,0.058726935793579016
474770,227013790,0,1.0,0.0,0.0,0.44811124,0.5314523,2201.0,0.674924,-0.32524005,1.5346701,1.0523021,5.0,33570.723,30669.443,4,1,1,9,25,36,4,1,1,10,26,40,1104,0.9997575685714812,0.18363700114577164
474770,893001868,0,1.0,0.5211629,0.5211629,0.35014236,0.4338761,2247.0,1.6680801,1.034177,2.6106825,5.5988984,4.0,34738.9,62965.355,7,1,4,14,39,48,7,1,4,15,44,60,1187,0.9999999955282446,0.09408247853390739
474770,944663887,0,1.0,0.0,0.0,0.31182525,0.3990803,2016.0,0.0927515,-0.08962691,1.8511796,2.2968667,4.0,0.0,64831.88,1,5,0,13,40,43,1,5,0,16,45,53,1043,0.9980322285494669,0.0636205814294325
474770,766952597,0,1.0,0.0,0.0,0.3245319,0.39261037,1718.0,1.9717773,0.0,0.0,-1.0,9.0,16982.62,23260.531,2,3,1,17,40,39,2,3,1,18,40,39,920,0.8019214922366861,0.6214717953436248
474770,944474419,0,1.0,0.0,0.0,0.41073066,0.4754592,2059.0,0.06885207,0.0,0.0,-1.0,4.0,28802.904,36685.09,5,2,5,9,57,40,5,2,5,10,59,41,1086,0.867256881632585,0.08760552498708118
474770,558121440,0,1.0,0.0,0.0,0.3706882,0.4728616,2064.0,1.107938,-0.3036586,4.641711,5.4536567,4.0,20326.791,31411.791,8,0,3,12,19,38,8,0,3,13,20,38,1028,0.9976330532424227,0.08104062017404068
474770,576512812,0,1.0,0.0,0.0,0.32719007,0.41350615,2034.0,1.4900583,-1.8569871,1.8569871,-1.8569871,4.0,27724.02,45115.316,2,0,5,16,35,34,2,0,5,16,37,39,1070,0.7816699206475224,0.13375525147525735
474770,552755649,0,1.0,0.0,0.0,0.43581066,0.5074844,1895.0,1.4280996,1.7313162,2.7304664,6.113937,4.0,11138.615,20141.744,13,0,7,16,42,31,13,0,7,17,49,43,1030,0.9831743433620088,0.05739235703947798
474770,802023211,0,1.0,0.0,0.0,0.48667923,0.52777743,2033.0,0.17653918,1.4408025,2.015587,3.4671974,3.0,34931.293,30057.469,3,3,7,17,43,40,3,3,7,23,52,47,930,0.998897427938948,0.037294916622816254
474679,446056274,0,1.0,0.0,0.0,0.4266605,0.5019113,2569.0,0.083418846,0.0,0.0,-1.0,4.0,36429.83,59154.68,5,1,3,16,39,40,5,1,3,18,39,42,1313,0.8173857264315487,0.18137866571839278
476991,1782548689,0,1.0,0.0,0.0,0.3673384,0.42518935,2045.0,0.34695065,0.0,0.0,-1.0,3.0,24357.463,26613.578,9,4,4,13,35,34,9,4,4,14,38,35,979,0.0,0.05479107035433406
476991,1810947185,0,1.0,0.0,0.0,0.32767102,0.4017184,2508.0,0.017757934,0.0,0.0,-1.0,5.0,30955.04,39740.75,3,2,3,18,43,41,3,2,3,18,45,46,1326,0.7443598259864845,0.2500610974580715
479269,3904306798,0,1.0,0.0,0.0,0.2923939,0.36093113,1924.0,0.6959261,0.0,0.0,-1.0,4.0,24827.057,29531.994,3,2,3,11,36,40,3,2,3,13,38,41,1052,0.0,0.08810314267642894
479507,1509351973,0,1.0,0.75555265,0.75555265,0.38839248,0.4863504,2397.0,0.22313762,-0.5524958,1.0468476,0.19687821,3.0,30770.828,36927.59,4,2,3,20,43,49,4,2,3,21,43,50,1168,0.27525786864374757,0.12237601127035147
479507,1561342492,0,1.0,0.0,0.0,0.3116524,0.39030316,2632.0,0.07874644,-0.9137606,3.2361279,3.9156334,3.0,32354.809,39194.06,5,2,3,19,50,36,5,2,3,25,51,39,1347,0.981707244905522,0.07203423803556641
479507,1560223320,0,1.0,0.0,0.0,0.37529582,0.44989526,1892.0,0.13399874,0.55514455,2.465549,4.081396,3.0,31430.545,27825.754,2,4,1,14,37,37,2,4,1,14,38,39,996,0.886305359226043,0.033250791712767125
479507,1541635796,0,1.0,0.0,0.0,0.3248476,0.40490022,1980.0,0.08150792,0.23476917,2.6999693,3.798068,3.0,33019.113,29551.547,8,1,4,12,40,46,8,1,4,12,40,48,953,0.9994387662366397,0.03543488868052569
483869,492144130,0,1.0,0.0,0.0,0.3519936,0.43039834,2227.0,2.2165263,-1.2346205,4.339937,1.8082799,3.0,7990.4976,77551.84,8,3,4,6,47,34,8,3,4,7,49,34,1124,0.9944023432855924,0.060093850636951274
483869,538178990,0,1.0,0.0,0.0,0.42431092,0.48587218,2182.0,0.07315111,0.0,0.0,-1.0,3.0,7590.057,26195.943,0,3,5,15,24,40,0,3,5,17,24,41,1076,0.6284819098773153,0.058856982327102125
483869,639232870,0,1.0,0.0,0.0,0.34073216,0.40988263,1904.0,0.28131938,-1.0131053,3.1961334,2.55964,3.0,35967.02,41114.312,9,1,1,21,38,47,9,1,1,22,40,49,975,0.9983182620943871,0.043199944209583174
483869,752229261,0,1.0,0.0,0.0,0.34022632,0.4219936,1725.0,0.5121649,0.86720973,3.0435996,6.0473375,3.0,0.0,22354.377,9,1,8,11,54,43,9,1,8,15,55,44,920,0.9899779150397434,0.029963840295627597
483869,751097053,0,1.0,0.0,0.0,0.317276,0.38378572,2144.0,0.58462274,0.0,0.0,-1.0,3.0,26687.592,38121.05,5,1,3,12,42,41,5,1,3,13,43,42,1032,0.607257909746885,0.06387668233663835
483869,779401063,0,1.0,0.0,0.0,0.37098426,0.44270366,1990.0,0.5982059,1.2537178,3.0170138,8.711566,7.0,36708.77,42431.75,5,1,3,13,25,34,5,1,3,15,29,44,940,0.9986065203036965,0.21450708286108633
483869,518909522,0,1.0,0.0,0.0,0.39242497,0.4930476,1971.0,0.19721809,-2.153829,3.0459743,0.0,6.0,37007.918,44100.062,7,4,3,19,39,34,7,4,3,21,41,34,906,0.029638203652730732,0.2533552159318303
483869,557999090,0,1.0,0.0,0.0,0.28090444,0.378855,1852.0,0.34855664,-0.53651,0.53651,-0.53651,3.0,34267.305,34199.633,4,5,1,14,53,38,4,5,1,17,56,41,978,0.8135853656054073,0.041895271411135804
483869,1133847919,0,1.0,0.0,0.0,0.32300273,0.38324064,2216.0,0.05180547,0.63524324,1.9360551,3.41762,4.0,29816.05,29594.543,5,2,3,17,44,32,5,2,3,18,46,35,1189,0.9988851945208318,0.06448257771813026
483869,1130066249,0,1.0,0.0,0.0,0.3188345,0.422211,2581.0,0.4136094,0.0,0.0,-1.0,4.0,32679.742,24269.234,5,4,6,14,55,39,5,4,7,16,56,41,1158,0.9072921604590594,0.19585432278483483
483869,1085526760,0,1.0,0.0,0.0,0.2948206,0.37114197,2076.0,0.27944928,-1.0129008,7.5480447,8.241781,4.0,34673.49,57677.59,5,2,2,6,40,37,5,2,2,12,46,46,1048,0.9999999999927703,0.0854436216002652
483869,1090109911,0,1.0,0.0,0.0,0.30656782,0.37184215,2014.0,0.038791418,-1.3799134,4.1566143,3.4784434,4.0,8408.922,33456.848,2,2,5,10,32,34,4,2,5,10,33,35,981,0.9997307730644849,0.07412936229886935
