runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
474462,796768252,0,1.0,0.3488372,12.125223,34.012547,8.503137,9.316129,14.800723,0.6967895,0.47710064,1.7492512,11.844883,2.5606174,0.3070414,0.08527538,0.0,4.3168,0.0,35891.184,32433.088,2,7,5,15,43,44,2,7,5,18,44,51,1277,0.452940572158573,0.105784613672391
474462,194958063,0,1.0,0.3,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373297,0.0,0.0,30236.768,4,1,4,12,40,35,4,1,4,13,43,35,1064,0.8854262197174172,0.04566665400818559
474462,484631957,0,1.0,0.25,12.867686,101.00894,9.1826315,11.019667,21.84148,6.352756,3.3467104,12.080132,0.0,19.909767,0.0,2.9009602,13.685992,3.562982,0.0,32306.244,26538.344,2,1,2,6,24,40,2,1,2,9,25,41,1278,0.9999670719740857,0.09289751542718794
474462,666957991,0,1.0,0.45,0.0,49.063984,7.0091405,8.56476,16.974527,2.1596217,-0.25992793,4.499984,11.548204,6.5322824,-1.4276913,0.6185747,0.012081798,2.020308,3.879549,34043.336,75120.51,16,3,0,18,40,39,17,3,0,26,44,43,1132,0.2688266518503023,0.061448020773420486
474462,666527915,0,1.0,0.30952382,0.0,85.65354,10.706692,21.774351,60.525246,5.411079,-0.19890594,16.76631,0.0,34.300564,0.0,4.2309813,0.0,1.0998287,0.0,0.0,33123.098,4,1,2,13,42,32,4,1,2,15,45,35,912,0.9985807371176146,0.0584049684637159
474462,166301977,0,1.0,0.125,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.937929,0.0,20715.14,22319.98,1,0,1,4,32,33,2,0,2,4,32,33,1260,0.9310134772604275,0.07381137752368949
474462,231215141,0,1.0,0.34375,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2885219,0.0,31458.428,34005.164,2,1,1,11,32,32,2,1,1,12,33,32,922,0.8536457987215151,0.07328751738023298
474462,230493717,0,1.0,0.41666666,0.0,32.031956,6.406391,6.5646253,8.63596,0.0,2.607807,4.4057903,2.3613868,4.0173745,1.4503567,1.6279122,0.12584539,2.9771793,0.0,24193.885,32652.285,4,3,3,15,36,31,4,3,3,18,39,35,904,0.9075767614378675,0.0605352054858459
474462,234660568,0,1.0,0.22916667,0.0,59.459927,14.864982,16.390957,23.015163,0.0,10.134562,6.339695,-0.27550107,10.054175,0.0,1.3526027,0.0,6.5843806,0.0,32112.926,21427.75,4,4,3,11,48,41,4,4,3,13,49,44,1172,0.361855035466247,0.17219418284642662
474462,780232681,0,1.0,0.26666668,16.77456,131.34447,9.381747,11.678712,33.02286,0.52020574,11.663376,18.838808,8.982252,29.513828,2.1062107,4.654235,0.71710384,4.3070517,0.0,28887.775,29747.445,0,4,2,12,45,44,0,4,2,18,49,48,1081,0.9999999631117609,0.1049227265546876
474462,850927113,0,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6224327,0.0,14841.633,40204.477,5,5,1,10,20,31,5,5,1,16,24,34,1143,0.49088792054765207,0.22957839068376518
474462,859796159,0,1.0,0.5135135,0.0,90.87929,8.261753,11.552969,31.105492,0.58303696,6.05708,0.5790806,20.405272,10.850014,3.8610039,2.736307,-0.0073271887,4.707153,4.4545536,27365.94,36091.848,10,1,3,19,37,35,10,1,3,24,44,49,985,0.8046278435443751,0.03654145353814364
474462,857652142,0,1.0,0.22857143,0.0,30.523838,6.104768,9.577065,20.685225,2.4155314,-0.23971033,6.1583433,-0.22485635,12.69085,0.0,0.8412263,-0.2270904,2.2134662,0.0,0.0,48313.03,4,0,1,8,35,33,4,0,1,10,41,39,1027,0.938463641284507,0.04009066494567182
474462,1797430690,0,1.0,0.3846154,0.0,32.410934,8.102734,10.514946,19.37864,0.3359203,-0.1824086,1.5234349,0.0,13.812137,0.0,1.4612283,0.0,0.8087338,0.0,32996.195,35988.59,9,6,1,15,39,37,9,6,1,18,41,41,1119,0.827726702521417,0.0605019969387246
474462,1047812028,0,1.0,0.2777778,11.337787,73.77778,12.296296,18.407112,42.418022,-0.02059322,0.2331228,0.8382943,36.850037,6.7180614,0.5989762,1.6547457,0.0,1.2146264,1.0360736,27474.938,25259.006,13,5,2,10,36,40,13,5,2,15,41,43,935,0.9668553153746028,0.03439914376461872
474462,1803945737,0,1.0,0.30612245,0.0,3.7410858,3.7410858,3.7410858,3.7410858,0.0,0.3022211,0.0,0.0,0.13184665,0.0,0.77083504,0.0,99999.0,0.0,24914.373,26568.654,6,4,1,15,49,41,7,4,1,18,53,45,1155,0.0,0.1161128969819355
474462,1404810848,0,1.0,0.7241379,0.0,39.075485,13.025162,17.300407,29.02586,0.0,7.102984,-0.16660222,9.0607,2.3199627,2.2849667,3.4386256,0.0,1.938298,0.0,24604.848,32490.162,8,1,2,21,29,31,8,1,2,25,30,34,974,0.3557690600132811,0.05530150645625165
474462,404034119,0,1.0,0.16666667,0.0,79.00722,4.38929,5.240648,10.331805,3.4472432,3.3317406,7.464933,1.2541918,14.70161,1.0584066,1.6175735,0.19760795,5.9749312,0.0,32310.893,23106.404,3,2,0,6,36,39,3,2,1,6,39,47,924,0.9998594859613603,0.15437913096436895
474462,438420004,0,1.0,0.47826087,0.0,100.231735,5.56843,6.897496,18.832289,3.2043595,5.677714,11.958677,9.695402,13.811614,2.901849,1.21524,0.10505063,2.3370888,0.0,38885.61,34192.715,2,3,6,11,23,32,4,4,7,12,26,32,1014,0.9999992694483554,0.1022031544935551
474462,1689971830,0,1.0,0.33333334,0.0,57.109093,7.1386366,8.62496,16.46909,5.273783,3.3645298,7.0449905,0.65825844,11.273165,0.0,2.2156181,0.0,1.7494246,0.0,24000.559,28948.314,10,2,5,13,39,41,10,2,5,15,41,41,1072,0.9990490876596099,0.05330032872411328
474462,187455669,0,1.0,0.27906978,30.278376,61.78089,10.296815,15.272237,35.213417,5.487725,0.0038549842,14.305573,0.0,14.746027,0.0,0.28736857,6.839941,1.6580588,0.0,31827.773,21110.309,4,2,3,12,43,42,5,4,4,14,44,43,1015,0.9773007519218014,0.0680369659784702
474462,254979605,0,1.0,0.32258064,8.151494,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.407742,0.0,38511.73,23111.113,6,3,3,10,31,41,6,3,3,12,32,45,1049,0.4627746606185371,0.08812303831921353
474462,1177002011,0,1.0,0.13157895,0.0,38.541695,9.635425,16.157007,31.96061,2.1137228,0.25572252,6.709173,0.0,14.775529,0.0,0.7563092,0.0,3.4246624,0.6194966,26603.344,25314.16,5,1,2,5,38,47,5,1,2,6,39,50,1044,0.658738492712255,0.04023099539550545
474462,205218896,0,1.0,0.20754717,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7299538,0.0,26680.982,31492.926,11,3,1,11,53,47,11,3,1,14,55,51,1080,0.9122647209842372,0.27342375881954006
474462,1289500896,0,1.0,0.3265306,0.0,51.8087,5.756522,7.9677453,16.43854,3.669987,-0.049380522,6.724676,-0.060771666,13.539204,0.0,0.25104654,1.7727313,99999.0,0.0,22614.54,22376.717,7,4,1,16,49,39,7,4,1,20,51,43,992,0.0,0.11421819343855277
474462,1872623836,0,1.0,0.29411766,0.0,36.880688,5.2686696,7.3259616,16.88967,0.45733374,0.5757372,3.8731942,9.328662,3.64311,0.612779,-0.11782244,0.0,2.5827167,4.4286656,37860.56,41956.785,5,0,3,10,34,37,5,0,3,11,39,42,1088,0.19519443270119285,0.12468753229065921
474462,1983554024,0,1.0,0.22222222,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.267529,0.0,36840.207,41368.883,4,1,2,8,36,33,4,1,2,9,41,34,955,0.8622979666330256,0.038592920068119985
474462,309834131,0,1.0,0.12,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.192435,0.0,33999.473,38479.766,3,4,3,6,50,34,3,4,3,7,51,34,1179,0.9175036601544581,0.07567169664172446
