runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,region,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,msvtx_nTGC_s,scoreNN1e,scoreNN2e,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw
410000,36800,537836,0.0,,,18.906773,3.1511288,3.94786,8.209606,2.5726502,0.0,3.5266857,0.30489436,3.033996,0.4835595,-0.00019382859,0.0066021304,1.610567,0.0,157977.97,162529.2,3,3,1,13,30,43,3,3,1,14,34,57,,,,,,,,,0.09343326,-0.5364941,1.7647884,0.7495341,8.0,endcap,0.43333334,164.59572,1803.0,0.979662664622283,0.9311751763751012,0.67982715,0.70255256,0.4039343,0.46739507,3404.0
410000,56876,537836,1.6680007e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4273226,0.0,127544.02,125088.41,2,0,0,6,12,42,2,0,0,6,14,43,,,,,,,,,0.09151137,0.0,0.0,-1.0,5.0,endcap,0.5,0.0,2019.0,0.7585763824432028,0.9329703375330338,0.5889823,0.5889823,0.45305407,0.5011576,4012.0
410000,81197,537836,4.491908e-12,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5488454,0.0,43452.65,53577.305,4,1,2,11,5,33,4,1,2,14,5,34,,,,,,,,,0.7135731,0.0,0.0,-1.0,5.0,endcap,2.2,13.759604,1784.0,0.4147308687176688,0.8523758564841102,1.0569943,1.0569943,0.35966378,0.4150636,3422.0
410000,30209,537836,2.0279964e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300027,0.0,94318.336,62377.35,3,2,0,8,28,31,3,2,0,12,29,31,,,,,,,,,0.6913464,0.0,0.0,-1.0,3.0,endcap,0.2857143,37.897804,1082.0,0.9109347863069496,0.0749049372678568,0.0,0.0,0.41072452,0.4935451,2219.0
410000,19014,537836,1.272404e-10,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5895524,0.0,156099.23,129658.81,0,2,0,4,31,39,0,2,0,5,33,40,,,,,,,,,0.60495114,0.0,0.0,-1.0,8.0,endcap,0.12903225,0.0,1942.0,0.9437100045806762,0.9562885134333126,0.0,0.0,0.39407924,0.4697936,3960.0
410000,75325,537836,1.169944e-10,,,46.906017,9.381203,10.609825,18.540825,0.0,0.22783142,6.254707,0.0,11.667325,0.0,3.8534038,0.0,3.058917,0.0,53258.773,45420.574,1,0,0,8,40,48,1,0,0,8,43,57,,,,,,,,,0.27919734,0.5872983,1.4732492,2.2489917,7.0,endcap,0.2,0.0,1280.0,0.9704928032870896,0.6524592546988135,0.9231242,0.9231242,0.60263336,0.6470202,2518.0
410000,148057,537836,9.9734075e-11,,,1.408927,0.70446354,0.78998107,1.0619565,0.094326586,0.0,0.6188661,0.0,-0.12073553,0.0,0.0,0.0,2.1430354,0.0,96325.28,103608.805,0,2,1,6,32,31,0,2,1,6,35,34,,,,,,,,,0.31316507,-0.74349993,2.4834094,1.626,7.0,endcap,0.1875,0.0,1300.0,0.9415233648854224,0.7732951998199528,0.8137423,0.83612704,0.3377013,0.4128048,2878.0
410000,66582,537836,5.971488e-14,,,38.574192,7.7148385,8.38989,11.4724245,0.0,1.4419539,9.446984,0.0,7.586114,0.0,0.25800288,0.0,1.5799731,0.0,128343.414,111093.3,1,3,2,9,12,40,1,3,2,12,14,44,,,,,,,,,0.26081347,-0.9171424,1.1987182,-0.17749777,3.0,endcap,0.75,8.109974,1146.0,0.8873042004233987,0.0896070614172324,0.0,0.0,0.3778074,0.4546387,2432.0
410000,88708,537836,0.0,,,8.965906,4.482953,4.4856415,4.6382403,0.0,0.0,0.78501487,0.0,3.6199687,0.0,-0.117,0.0,2.4122093,0.0,71746.305,72515.22,1,3,1,7,33,38,1,3,3,8,33,39,,,,,,,,,0.12598586,0.2266523,0.5264588,0.7018234,6.0,endcap,0.21212122,0.0,1285.0,0.8856385103968138,0.2975808996060184,0.0,0.0,0.5100175,0.5643986,2322.0
410000,79015,537836,1.347915e-10,,,0.40941998,0.40941998,0.40941998,0.40941998,0.0,-0.22676063,-0.05729579,0.0,-0.48211974,0.0,1.00859,0.0,2.0873022,0.0,55845.574,93794.62,1,2,0,8,32,37,3,3,1,10,36,42,,,,,,,,,0.21759522,3.2015018,3.2015018,3.2015018,5.0,endcap,0.25,0.0,1901.0,0.9168561091414256,0.7659385614009845,0.6088209,0.6088209,0.4305134,0.46766728,3681.0
